fonte,codigo,titulo,tipo,subtipo,finalidade,preco_locacao,preco_venda,valor_condominio,valor_iptu,bairro,cidade,estado,endereco,dormitorios,suites,banheiros,garagens,area_total,area_construida,area_util,area_terreno,descricao,url,latitude,longitude
Cardinali,237865,Apartamento 2 Dormitórios condomínio com piscina.,Apartamento,Padrao,Locacao,"2.223,00",,.,"99,64",Jardim Gibertoni,São Carlos,SP,,2.0,1.0,1.0,1.0,,,,,"Apresentamos uma excelente oportunidade de locação em um dos bairros mais tranquilos e bem localizados de São Carlos. Este apartamento padrão no Jardim Gibertoni é ideal para quem busca conforto e praticidade.

Detalhes do Apartamento:

- Dormitórios: 2 dormitórios amplos, proporcionando um espaço aconchegante e arejado para você e sua família.
- Garagem: 1 vaga de garagem coberta, garantindo segurança e comodidade para seu veículo.
- Piscina.
- Portaria remota.
- Ventilador de teto.
- Área Útil: 69,00m², perfeita para acomodar todos os seus móveis e pertences com facilidade.
- Área Total: 69,00m², oferecendo um espaço ideal para viver bem.

Características Adicionais:

- Apartamento bem iluminado, com janelas que garantem ventilação natural.
- Localização privilegiada, próximo a supermercados, escolas, farmácias e demais comodidades do dia a dia.
- Bairro tranquilo, ideal para famílias ou profissionais que buscam um ambiente calmo para residir.

Condições de Locação:

- Valor da locação a ser consultado.
- Documentação necessária: RG, CPF, comprovante de renda e referência de locação anterior (se houver).

Não perca essa oportunidade de viver em um apartamento confortável e bem localizado. Entre em contato para mais informações e agende sua visita!",https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Gibertoni/237865,-22.0189526,-47.9071237
Cardinali,237859,Apartamento 03 dormitórios,Apartamento,Padrao,Locacao,"2.223,00",,"829,00","155,68",Jardim Alvorada,São Carlos,SP,,3.0,1.0,1.0,3.0,,,,,"Locação de Apartamento - Jardim Alvorada, São Carlos/SP

- Tipo: Apartamento Padrão
- Dormitórios: 3
- Garagens: 3
- Área Útil: 127,00 m²
- Área Total: 90,00 m²

Se você tiver interesse, entre em contato para mais informações ou agendar uma visita!",https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Alvorada/237859,-22.0090168,-47.9066813
Cardinali,237849,Casa em condomínio fechado,Casa,Condominio,Locacao,"5.556,00",,.,"331,98",Condominio Residencial Montreal,São Carlos,SP,,3.0,1.0,1.0,2.0,,,,,"Locação de Casa - Condomínio Residencial Montreal

Portaria 24 horas.

- Localização: Bairro Condomínio Residencial Montreal, São Carlos/SP
- Dormitórios: 3
- Garagens: 2
- Área Construída: 234,56 m²
- Área do Terreno: 33,00 m²

Excelente oportunidade para quem busca conforto e segurança em um condomínio. Para mais informações ou agendar uma visita, entre em contato!",https://www.cardinali.com.br/alugar/Sao-Carlos/Casa/Condominio/Condominio-Residencial-Montreal/237849,-21.9847143,-47.9291918
Cardinali,237842,Próximo USP,Apartamento,Padrao,Locacao,"1.778,00",,"344,59","90,00",Jardim Santa Paula,São Carlos,SP,,2.0,,1.0,1.0,,,48.0,,"Locação de Apartamento Padrão no bairro Jardim Santa Paula em São Carlos/SP. O imóvel possui 2 dormitórios, 1 garagem, área útil de 48,00 m² e área total de 48,00 m². Se você estiver interessado ou precisar de mais informações, fique à vontade para perguntar!",https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Santa-Paula/237842,-22.0003467,-47.9027189
Cardinali,237837,Apartamento de 02 dormitórios,Apartamento,Padrao,Locacao,"1.389,00",,"410,00",,Vila Lutfalla,São Carlos,SP,,2.0,,1.0,1.0,,,52.0,,"Locação de Apartamento Padrão no bairro Vila Lutfalla, São Carlos/SP. O imóvel possui 2 dormitórios, 1 garagem e uma área útil de 52,00 m², com área total também de 52,00 m². Para mais informações, entre em contato.",https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Vila-Lutfalla/237837,-22.0305885,-47.8879404
Cardinali,237835,salão comercial muito bem localizado.,Comercial,Salao,Locacao,"11.112,00",,1,,Vila Marina,São Carlos,SP,,,,2.0,3.0,,200.0,,200.0,"Locação de Comercial - Salão no bairro Vila Marina, São Carlos/SP

- Área construída: 200,00 m²
- Área do terreno: 200,00 m²
- Garagens: estacionamento comunitário ao lado.

Ideal para o seu negócio, com espaço amplo e bem localizado. Entre em contato para mais informações e agendamento de visita.",https://www.cardinali.com.br/alugar/Sao-Carlos/Comercial/Salao/Vila-Marina/237835,-21.9954779,-47.8898178
Cardinali,237833,Casa com 03 dormitórios,Casa,Padrao,Locacao,"10.000,00",,",","300,00",Vila Costa do Sol,São Carlos,SP,,3.0,1.0,3.0,3.0,,,,,"Casa mobiliada disponível para locação no bairro Vila Costa do Sol, em São Carlos/SP. A propriedade conta com 3 dormitórios, 3 garagens e possui uma área construída de 297,50 m², em um terreno de 600,00 m². Se você está em busca de um espaço amplo e confortável, essa pode ser uma ótima opção. Para mais informações, entre em contato.",https://www.cardinali.com.br/alugar/Sao-Carlos/Casa/Padrao/Vila-Costa-do-Sol/237833,-22.0019397,-47.8835156
Cardinali,237831,Sala comercial com cozinha e banheiro em rua comercial.,Comercial,Sala,Locacao,"1.334,00",,.,"50,00",Cidade Jardim,São Carlos,SP,,,,1.0,,30.0,30.0,,,"Você está em busca de um espaço ideal para o seu negócio? Temos a solução perfeita para você! Apresentamos uma sala comercial disponível para locação no encantador bairro Cidade Jardim, em São Carlos/SP.

Detalhes do Imóvel:
- Área Total: 30,00 m²
- Área Construída: 30,00 m²
- Recepção.
- Interfone.
- Copa.
- Ar-Condicionado.
- Sala tem toda Preparada para consultório odontológico.

Características do Imóvel:
- Localização privilegiada no bairro Cidade Jardim, conhecido por sua tranquilidade e infraestrutura.
- Espaço ideal para escritórios, consultórios, ateliês, ou qualquer tipo de negócio que necessite de um ambiente acolhedor e funcional.
- Ambientes bem iluminados, proporcionando um clima agradável durante todo o dia.
- Fácil acesso a vias principais, facilitando a chegada de clientes e fornecedores.
- Proximidade de comércios, serviços e transporte público.

Vantagens da Localização:
O bairro Cidade Jardim é conhecido por sua qualidade de vida, oferecendo uma combinação perfeita entre tranquilidade e praticidade. Você estará próximo a supermercados, restaurantes, farmácias e outros serviços essenciais.

Condições de Locação:
Entre em contato para mais informações sobre valores, condições de pagamento e agendamento de visitas. Esta é a oportunidade que você esperava para estabelecer ou expandir seu negócio em uma das melhores regiões de São Carlos.

Não perca tempo! Venha conhecer sua nova sala comercial no Cidade Jardim e transforme seus projetos em realidade. 

Para mais informações, entre em contato conosco!",https://www.cardinali.com.br/alugar/Sao-Carlos/Comercial/Sala/Cidade-Jardim/237831,-21.9996964,-47.8937761
Cardinali,237812,Apartamento de 2 dormitórios sendo 1 suíte.,Apartamento,Padrao,Locacao,"2.450,00",,"218,25",.,Cidade Jardim,São Carlos,SP,,2.0,1.0,1.0,1.0,,,,,"Locação de apartamento padrão no bairro Cidade Jardim, São Carlos/SP. 
Iptu não desmembrado.
O imóvel possui 2 dormitórios, 1 garagem, área útil de 54,00 m² e área total de 64,00 m². 
Para mais informações ou agendar uma visita, entre em contato.",https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/237812,-21.9996964,-47.8937761
Cardinali,237811,Sala Comercial,Comercial,Sala,Locacao,"1.445,00",,",",",",Centro,São Carlos,SP,,,,1.0,,,60.0,,60.0,"Locação de Sala Comercial no Centro em São Carlos/SP. A sala possui uma área construída de 60,00 m², ar - condicionado . Ideal para negócios que buscam um espaço bem localizado e acessível. Para mais informações, entre em contato.",https://www.cardinali.com.br/alugar/Sao-Carlos/Comercial/Sala/Centro/237811,-22.0220194,-47.8929316
Cardinali,237801,apartamento de dois dormitórios.,Apartamento,Padrao,Locacao,"1.112,00",,"276,97","45,00",Jardim Jockei Club A,São Carlos,SP,,2.0,,1.0,1.0,,,48.0,,"Locação de apartamento padrão no bairro Jardim Jóckei Club A, em São Carlos/SP. 
O imóvel possui 2 dormitórios, 1 garagem, área útil de 48,00 m² e área total de 58,00 m². 
Para mais informações ou agendar uma visita, entre em contato.",https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Jockei-Club-A/237801,,
Cardinali,237790,Sala comercial Com estacionamento para 7 carros,Comercial,Sala Salao com Condominio,Locacao,"12.000,00",,.,"109,85",Vila Marina,São Carlos,SP,,,,2.0,,75.0,,,,"Você está em busca de um espaço ideal para estabelecer seu negócio? Temos a oportunidade perfeita para você!

Descrição do Imóvel:
- Tipo: Sala Comercial
- Localização: Vila Marina, São Carlos/SP
- Recepção.
- Cozinha.
- 2 Banheiros.
- Área Total: 75,00m²
- Área Útil: 75,00m²
- Condomínio: Incluso na locação

Destaques do Imóvel:
- Ótima localização em um dos bairros mais valorizados de São Carlos, com fácil acesso a vias principais e comércio local.
- Ambientes amplos e bem iluminados, proporcionando conforto e versatilidade para seu empreendimento.
- Ideal para diversos tipos de negócios, como escritórios, consultórios, clínicas ou lojas.
- Estrutura moderna e bem conservada, pronta para receber sua empresa.

Condições de Locação:
- Valor do aluguel: Consulte-nos para mais informações.
- Documentação necessária: Comprovante de renda, documentos pessoais e fiador ou seguro fiança.

Infraestrutura do Condomínio:
- Segurança 24 horas
- Estacionamento para clientes
- Salas de reunião
- Elevador

Não perca essa oportunidade de alavancar seu negócio em um espaço estratégico e acolhedor. Para mais informações ou agendar uma visita, entre em contato conosco!


Aguardamos seu contato!",https://www.cardinali.com.br/alugar/Sao-Carlos/Comercial/Sala-Salao-com-Condominio/Vila-Marina/237790,-21.9954779,-47.8898178
Cardinali,237787,Sala comercial Com estacionamento para 7 carros,Comercial,Sala,Locacao,"2.900,00",,",",",",Centro,São Carlos,SP,,,,1.0,7.0,70.0,70.0,,,"*** Rateio de jardim R$ 100,00***

Você está em busca de um espaço ideal para o seu negócio? Temos a solução perfeita para você!

Localização: 
Situada no coração do Centro, esta sala comercial oferece fácil acesso às principais vias da cidade de São Carlos/SP. Aproveite a comodidade de estar próximo a comércios, serviços e transporte público.

Características do Imóvel:
- Área Total: 70,00 m²
- Área Construída: 70,00 m²
- Banheiro.
- Copa.
- Recepção
- 2 Salas
- Sala 1 : 3x5
- Sala 2 : 6x5
- Interfone.
- Garagens: 7 vagas disponíveis, proporcionando conforto e praticidade para você e seus clientes.

Diferenciais:
- Espaço amplo e versátil, perfeito para lojas, consultórios, escritórios ou qualquer tipo de empreendimento.
- Localização estratégica, ideal para atrair um grande fluxo de clientes.
- Facilidade de estacionamento com 7 garagens, um grande diferencial para seu negócio.
- Infraestrutura pronta para receber sua empresa com toda a comodidade.

Condições de Locação:
Entre em contato para mais informações sobre valores, condições de contrato e agendamento de visitas. Não perca a oportunidade de instalar seu negócio em um local privilegiado!

Garanta já o seu espaço e venha fazer parte deste bairro em crescimento!",https://www.cardinali.com.br/alugar/Sao-Carlos/Comercial/Sala/Centro/237787,-22.0220194,-47.8929316
Cardinali,237780,Salão Comercial,Comercial,Salao,Locacao,"1.356,00",,1,"128,48",Vila São José,São Carlos,SP,,,,1.0,,,60.0,,60.0,"Para locação, disponível um salão comercial localizado no bairro Vila São José, em São Carlos/SP. O imóvel possui uma área construída de 60,00 m² e uma área de terreno também de 60,00 m². Ideal para diversos tipos de negócios, o espaço oferece boa visibilidade e fácil acesso. Se você está buscando um local para estabelecer ou expandir seu comércio, essa pode ser uma excelente oportunidade. Para mais informações ou agendar uma visita, entre em contato.",https://www.cardinali.com.br/alugar/Sao-Carlos/Comercial/Salao/Vila-Sao-Jose/237780,-22.0025604,-47.8747895
Cardinali,237778,Casa 3 dormitórios sendo 1 suíte com 4 vagas de garagem e Churrasqueira,Casa,Padrao,Venda,"5.000,00","950.000,00",",","200,00",Planalto Paraíso,São Carlos,SP,,3.0,1.0,2.0,4.0,,,,,"Você está prestes a encontrar a casa dos seus sonhos! Apresentamos uma excelente oportunidade de locação em um dos bairros mais tranquilos e valorizados de São Carlos, o Planalto Paraíso. Esta casa padrão é ideal para famílias que buscam conforto, espaço e praticidade.

Características do Imóvel:
- Dormitórios: 3 amplos dormitórios, proporcionando aconchego e privacidade para toda a família.
- Garagens: 4 vagas de garagem, garantindo segurança e comodidade para seus veículos, Sendo 2 cobertas.
- Closet na suíte.
- Ar condicionado nos quartos.
- Piso vinílico no quarto. 
- Quintal.
- Churrasqueira com forno de pizza, forno e fogão a lenha.
- Área Total: 360,00 m², oferecendo um amplo espaço para lazer e convivência.
- Área Construída: 194,00 m², bem distribuídos em ambientes funcionais e acolhedores.
- Área do Terreno: 360,00 m², com possibilidade de ampliação e personalização do espaço.

Ambientes:
A casa conta com uma sala de estar iluminada, ideal para receber amigos e familiares. A cozinha é espaçosa e funcional, perfeita para preparar deliciosas refeições. Os dormitórios são bem ventilados e oferecem conforto para noites tranquilas. O quintal proporciona um espaço ao ar livre para aproveitar momentos de lazer.

Localização:
Situada no bairro Planalto Paraíso, você estará próximo de escolas, supermercados, farmácias e áreas de lazer. A região é tranquila e segura, ideal para quem busca qualidade de vida.

Condições de Locação:
Entre em contato para mais detalhes sobre condições de locação e agendamento de visitas. Não perca a chance de conhecer este imóvel que pode ser o lar que você sempre desejou!


Não perca essa oportunidade! Venha conhecer sua nova casa no Planalto Paraíso!",https://www.cardinali.com.br/comprar/Sao-Carlos/Casa/Padrao/Planalto-Paraiso/237778,-22.0072508,-47.9113232
Cardinali,237773,Apartamento 02 dormitórios,Apartamento,Padrao,Locacao,"3.100,00",,"513,00","90,00",Centro,São Carlos,SP,,2.0,1.0,1.0,2.0,,,,,"Locação de Apartamento - Padrão no Centro, São Carlos/SP

- Dormitórios: 2
- Garagens: 2
- Área útil: 54,00 m²
- Área total: 54,00 m²

Se você estiver interessado ou precisar de mais informações, entre em contato!",https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/237773,-22.0220194,-47.8929316
Cardinali,237765,apartamento de dois dormitório.,Apartamento,Padrao,Locacao,"1.500,00",,"200,00","80,00",Jardim Lutfalla,São Carlos,SP,,2.0,1.0,1.0,1.0,,,,,"Locação de Apartamento - Jardim Lutfalla, São Carlos/SP

Não tem portaria

- Tipo: Apartamento padrão
- Bairro: Jardim Lutfalla
- Dormitórios: 2
- Garagens: 1
- Área útil: 55,00 m²
- Área total: 65,00 m²

Entre em contato para mais informações e agendar uma visita!",https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Lutfalla/237765,-22.0054872,-47.8935566
Cardinali,237764,Imóvel comercial,Comercial,Salao,Locacao,"4.500,00",,"90,00","190,00",Vila Lutfalla,São Carlos,SP,,,,2.0,,,170.0,,170.0,"Para locação, disponível um salão comercial no bairro Vila Lutfalla, em São Carlos/SP. O imóvel possui uma área construída de 170,00 m² e também um terreno de 170,00 m². Ideal para diversos tipos de negócios. Para mais informações ou para agendar uma visita, entre em contato.",https://www.cardinali.com.br/alugar/Sao-Carlos/Comercial/Salao/Vila-Lutfalla/237764,-22.0305885,-47.8879404
Cardinali,237761,Apartamento de 02 dormitórios,Apartamento,Padrao,Locacao,"1.334,00",,"300,00","50,00",Recreio São Judas Tadeu,São Carlos,SP,,2.0,,1.0,1.0,,,45.0,,"Locação de Apartamento Padrão no Bairro Recreio São Judas Tadeu

- Dormitórios: 2
- Garagens: 1
- Área Útil: 45,00 m²
- Área Total: 45,00 m²
- Localização: São Carlos/SP

Para mais informações ou agendar uma visita, entre em contato.",https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Recreio-Sao-Judas-Tadeu/237761,-22.0339499,-47.8662214
Cardinali,237751,casa de dois dormitórios.,Casa,Padrao,Locacao,"1.500,00",,",","40,01",Recreio São Judas Tadeu,São Carlos,SP,,2.0,,1.0,1.0,,,,125.0,"Casa para locação no bairro Recreio São Judas Tadeu em São Carlos/SP. 
A residência possui 2 dormitórios, 1 garagem, com área construída de 100,00 m² e área de terreno de 125,00 m². 
Ideal para quem busca conforto e praticidade em um bairro tranquilo. 
Para mais informações, entre em contato.",https://www.cardinali.com.br/alugar/Sao-Carlos/Casa/Padrao/Recreio-Sao-Judas-Tadeu/237751,-22.0339499,-47.8662214
Cardinali,237750,apartamento de dois dormitórios.,Apartamento,Padrao,Locacao,"1.500,00",,"260,00","60,00",Cidade Jardim,São Carlos,SP,,2.0,1.0,1.0,1.0,,,,,"Locação de Apartamento - Padrão no bairro Cidade Jardim

Não tem portaria.

- Dormitórios: 2
- Cozinha completa de armários.
- Vagas de Garagem: 1
- Área Útil: 71,00 m²
- Área Total: 81,00 m²
- Localização: São Carlos/SP

Para mais informações ou agendar uma visita, entre em contato!",https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/237750,-21.9996964,-47.8937761
Cardinali,237748,Casa com 03 dormitórios,Casa,Padrao,Locacao,"1.778,00",,1,"15,00",Cidade Aracy,São Carlos,SP,,3.0,1.0,1.0,3.0,,,,,"Casa disponível para locação no bairro Cidade Aracy, em São Carlos/SP. A propriedade possui 3 dormitórios, 3 garagens e uma área construída de 200,00 m² em um terreno de 150,00 m². Ideal para quem busca conforto e espaço em um bom bairro. Entre em contato para mais informações ou agendar uma visita.",https://www.cardinali.com.br/alugar/Sao-Carlos/Casa/Padrao/Cidade-Aracy/237748,-22.0566965,-47.9097321
Cardinali,237747,Apartamento de 02 dormitórios em São Carlos - SP,Apartamento,Padrao,Venda,"1.556,00","280.000,00","252,00","78,25",Jardim Jockei Club A,São Carlos,SP,,2.0,,1.0,1.0,,,43.66,,"Apartamentocom Portaria 24hs.
Bairro: Jardim Jóckei Club A  
Dormitórios: 2  
Vagas de Garagem: 1  
Localização: São Carlos/SP  
Se precisar de mais informações ou detalhes adicionais sobre o apartamento, fique à vontade para perguntar",https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Jardim-Jockei-Club-A/237747,,
